,WELL,Dnmt1_g1,Mbd2_g1,Safe_g1,Safe_g2
334,N8,0,628,6,0
335,N9,0,171,2,0
336,O1,0,14,3,0
337,O10,0,10,1,0
338,O11,0,4274,4,0
339,O12,0,1370,5,0
340,O13,0,2,13742,0
341,O14,0,3,9784,0
342,O15,0,1,10,0
343,O16,0,2,7439,0
344,O17,0,9,1077,0
345,O18,0,2,1769,0
346,O19,0,3,351,0
347,O2,0,331,3,0
348,O20,0,5,637,0
349,O21,0,7,1014,0
350,O22,0,6,24374,0
351,O23,0,1,2620,0
352,O24,0,11,19233,0
353,O3,0,12,2,0
354,O4,0,50,2,0
355,O5,0,23728,14,0
356,O6,0,6996,2,0
357,O7,0,550,1,0
358,O8,0,2445,6,0
359,O9,0,9,6,0
360,P1,0,128,14,0
361,P10,0,9026,9,0
362,P11,0,11731,6,0
363,P12,0,23,13,0
364,P13,0,3,26,0
365,P14,0,6,2462,0
366,P15,0,8,1448,0
367,P16,0,3,1595,0
368,P17,0,14,537,0
369,P18,0,4,3260,0
370,P19,0,2,249,0
371,P2,0,6139,14,0
372,P20,0,5,2569,0
373,P21,0,16,178508,19
374,P22,0,5,1048,0
375,P23,0,8,6024,0
376,P24,0,13,33021,0
377,P3,0,1040,3,0
378,P4,0,588,10,0
379,P5,0,6150,10,0
380,P6,0,5474,7,0
381,P7,0,19008,15,0
382,P8,0,1999,4,0
383,P9,0,32052,26,0
